onboarding_elements;gender;birthdate;tech_savvy;uses_personal_initial;settings_task;settings_task_help;new_task;new_task_help;add_task;add_task_plus;add_task_help;delete_task;delete_task_help;calculator_task;calculator_task_help;add_task_repeat;add_task_repeat_plus;add_task_repeat_help;sus;finds_learnability_better;would_use_help;would_keep;sus_4;sus_10
TRUE;f;1997-11-06;y;y;19;n;40;n;17;y;n;8;n;20;n;17;y;n;97.5;y;y;y;Strongly disagree;Strongly disagree
TRUE;f;1966-05-02;n;y;29;n;75;n;31;n;n;17;n;37;n;115;n;y;60;y;y;y;Agree;Agree
FALSE;m;1969-03-09;n;n;28;n;106;n;64;n;n;148;y;46;n;85;n;y;62.5;y;y;y;Neutral;Agree
FALSE;f;1987-12-28;n;n;17;n;52;n;43;y;n;88;y;38;n;40;y;n;85;y;y;y;Strongly disagree;Disagree
TRUE;m;1967-12-20;y;y;15;n;35;n;15;y;n;48;n;41;n;26;y;n;85;y;n;y;Disagree;Strongly disagree
FALSE;m;1998-10-21;y;n;7;n;27;n;12;y;n;11;n;38;n;26;y;n;85;y;n;n;Strongly disagree;Disagree
FALSE;f;1968-05-16;n;n;41;n;42;n;71;n;n;147;n;22;n;80;y;n;77.5;y;y;y;Disagree;Disagree
TRUE;f;1998-02-19;n;y;15;n;31;n;30;n;n;8;n;20;n;30;y;n;95;y;n;y;Strongly disagree;Disagree
TRUE;m;1968-06-29;y;y;30;n;42;n;31;y;n;20;n;42;n;26;y;n;62.5;y;n;n;Strongly disagree;Strongly disagree
FALSE;m;1995-08-11;y;n;15;n;36;n;23;y;n;20;n;25;n;35;y;n;92.5;y;n;n;Strongly disagree;Strongly disagree
TRUE;m;1999-06-14;y;y;15;n;26;n;22;y;n;15;n;15;n;15;y;n;62.5;y;n;n;Strongly disagree;Neutral
TRUE;m;1999-06-14;y;y;13;n;35;n;16;y;n;16;n;26;n;11;y;n;67.5;y;n;y;Strongly disagree;Strongly disagree
FALSE;f;1967-08-02;n;n;44;n;54;n;43;n;n;135;y;91;n;41;y;n;77.5;y;y;n;Neutral;Disagree
TRUE;m;1999-04-13;y;y;6;n;23;n;15;n;n;7;n;12;n;10;y;n;97.5;y;n;n;Strongly disagree;Strongly disagree
TRUE;m;1997-02-06;y;y;5;n;28;n;20;y;n;7;n;28;n;10;y;n;67.5;y;n;y;Strongly disagree;Strongly disagree
FALSE;f;1998-06-12;n;n;25;n;65;n;13;y;n;32;n;43;n;12;y;n;72.5;y;n;n;Disagree;Disagree
FALSE;m;1997-01-06;n;n;17;n;41;n;25;y;n;47;n;37;n;24;y;n;85;y;y;n;Strongly disagree;Strongly disagree
FALSE;m;1990-01-02;n;n;22;n;40;n;30;y;n;15;n;41;n;30;y;n;80;y;n;n;Strongly disagree;Strongly disagree
TRUE;m;1998-05-03;n;y;10;n;27;n;17;n;n;22;n;25;n;14;y;n;85;y;n;y;Strongly disagree;Strongly disagree
FALSE;f;1998-08-20;n;n;13;n;32;n;27;n;n;11;n;28;n;24;y;n;65;y;y;y;Disagree;Disagree
FALSE;m;1966-07-07;n;n;45;n;43;n;47;y;n;117;y;38;n;137;y;n;67.5;y;y;n;Disagree;Disagree
TRUE;m;1996-11-06;n;y;15;n;25;n;16;y;n;6;n;30;n;12;y;n;100;y;y;y;Strongly disagree;Strongly disagree
TRUE;m;1989-03-21;y;y;15;n;42;n;40;y;n;30;n;21;n;18;y;n;57.5;y;n;n;Strongly disagree;Neutral
FALSE;f;2001-10-15;n;n;15;n;48;n;30;n;n;12;n;37;n;33;y;n;92.5;y;y;y;Strongly disagree;Strongly disagree
TRUE;m;1995-03-09;n;y;12;n;25;n;24;y;n;9;n;23;n;18;y;n;85;n;n;y;Strongly disagree;Strongly disagree